criterion,max_depth,min_samples_split,valid_acc
squared_error,1,2,0.8211382113821138
squared_error,1,4,0.8211382113821138
squared_error,1,8,0.8211382113821138
squared_error,1,16,0.8211382113821138
squared_error,1,32,0.8211382113821138
squared_error,1,64,0.8211382113821138
squared_error,1,128,0.8211382113821138
squared_error,1,256,0.8211382113821138
squared_error,1,512,0.8211382113821138
squared_error,1,1024,0.8211382113821138
squared_error,5,2,0.8495934959349594
squared_error,5,4,0.8658536585365854
squared_error,5,8,0.8577235772357723
squared_error,5,16,0.8617886178861789
squared_error,5,32,0.8536585365853658
squared_error,5,64,0.8577235772357723
squared_error,5,128,0.8536585365853658
squared_error,5,256,0.8577235772357723
squared_error,5,512,0.8617886178861789
squared_error,5,1024,0.8536585365853658
squared_error,10,2,0.8333333333333334
squared_error,10,4,0.8414634146341463
squared_error,10,8,0.8414634146341463
squared_error,10,16,0.8577235772357723
squared_error,10,32,0.8495934959349594
squared_error,10,64,0.8536585365853658
squared_error,10,128,0.8617886178861789
squared_error,10,256,0.8414634146341463
squared_error,10,512,0.8495934959349594
squared_error,10,1024,0.8455284552845529
squared_error,15,2,0.8008130081300813
squared_error,15,4,0.8130081300813008
squared_error,15,8,0.8333333333333334
squared_error,15,16,0.8455284552845529
squared_error,15,32,0.8455284552845529
squared_error,15,64,0.8414634146341463
squared_error,15,128,0.8617886178861789
squared_error,15,256,0.8536585365853658
squared_error,15,512,0.8495934959349594
squared_error,15,1024,0.8455284552845529
squared_error,20,2,0.7804878048780488
squared_error,20,4,0.8211382113821138
squared_error,20,8,0.8333333333333334
squared_error,20,16,0.8414634146341463
squared_error,20,32,0.8455284552845529
squared_error,20,64,0.8455284552845529
squared_error,20,128,0.8617886178861789
squared_error,20,256,0.8414634146341463
squared_error,20,512,0.8495934959349594
squared_error,20,1024,0.8455284552845529
squared_error,25,2,0.7642276422764228
squared_error,25,4,0.8211382113821138
squared_error,25,8,0.8211382113821138
squared_error,25,16,0.8373983739837398
squared_error,25,32,0.8414634146341463
squared_error,25,64,0.8455284552845529
squared_error,25,128,0.8699186991869918
squared_error,25,256,0.8536585365853658
squared_error,25,512,0.8495934959349594
squared_error,25,1024,0.8455284552845529
squared_error,30,2,0.7642276422764228
squared_error,30,4,0.8048780487804879
squared_error,30,8,0.8252032520325203
squared_error,30,16,0.8333333333333334
squared_error,30,32,0.8495934959349594
squared_error,30,64,0.8333333333333334
squared_error,30,128,0.8658536585365854
squared_error,30,256,0.8536585365853658
squared_error,30,512,0.8495934959349594
squared_error,30,1024,0.8455284552845529
squared_error,50,2,0.7642276422764228
squared_error,50,4,0.8048780487804879
squared_error,50,8,0.8292682926829268
squared_error,50,16,0.8333333333333334
squared_error,50,32,0.8455284552845529
squared_error,50,64,0.8495934959349594
squared_error,50,128,0.8658536585365854
squared_error,50,256,0.8536585365853658
squared_error,50,512,0.8495934959349594
squared_error,50,1024,0.8455284552845529
squared_error,100,2,0.7642276422764228
squared_error,100,4,0.8252032520325203
squared_error,100,8,0.8211382113821138
squared_error,100,16,0.8373983739837398
squared_error,100,32,0.8455284552845529
squared_error,100,64,0.8455284552845529
squared_error,100,128,0.8658536585365854
squared_error,100,256,0.8536585365853658
squared_error,100,512,0.8495934959349594
squared_error,100,1024,0.8455284552845529
friedman_mse,1,2,0.8211382113821138
friedman_mse,1,4,0.8211382113821138
friedman_mse,1,8,0.8211382113821138
friedman_mse,1,16,0.8211382113821138
friedman_mse,1,32,0.8211382113821138
friedman_mse,1,64,0.8211382113821138
friedman_mse,1,128,0.8211382113821138
friedman_mse,1,256,0.8211382113821138
friedman_mse,1,512,0.8211382113821138
friedman_mse,1,1024,0.8211382113821138
friedman_mse,5,2,0.8495934959349594
friedman_mse,5,4,0.8577235772357723
friedman_mse,5,8,0.8495934959349594
friedman_mse,5,16,0.8495934959349594
friedman_mse,5,32,0.8536585365853658
friedman_mse,5,64,0.8577235772357723
friedman_mse,5,128,0.8536585365853658
friedman_mse,5,256,0.8577235772357723
friedman_mse,5,512,0.8617886178861789
friedman_mse,5,1024,0.8536585365853658
friedman_mse,10,2,0.8495934959349594
friedman_mse,10,4,0.8536585365853658
friedman_mse,10,8,0.8414634146341463
friedman_mse,10,16,0.8536585365853658
friedman_mse,10,32,0.8455284552845529
friedman_mse,10,64,0.8617886178861789
friedman_mse,10,128,0.8617886178861789
friedman_mse,10,256,0.8414634146341463
friedman_mse,10,512,0.8495934959349594
friedman_mse,10,1024,0.8455284552845529
friedman_mse,15,2,0.7926829268292683
friedman_mse,15,4,0.8292682926829268
friedman_mse,15,8,0.8373983739837398
friedman_mse,15,16,0.8495934959349594
friedman_mse,15,32,0.8495934959349594
friedman_mse,15,64,0.8455284552845529
friedman_mse,15,128,0.8617886178861789
friedman_mse,15,256,0.8536585365853658
friedman_mse,15,512,0.8495934959349594
friedman_mse,15,1024,0.8455284552845529
friedman_mse,20,2,0.7845528455284553
friedman_mse,20,4,0.8170731707317073
friedman_mse,20,8,0.8333333333333334
friedman_mse,20,16,0.8455284552845529
friedman_mse,20,32,0.8577235772357723
friedman_mse,20,64,0.8617886178861789
friedman_mse,20,128,0.8617886178861789
friedman_mse,20,256,0.8414634146341463
friedman_mse,20,512,0.8495934959349594
friedman_mse,20,1024,0.8455284552845529
friedman_mse,25,2,0.7601626016260162
friedman_mse,25,4,0.8048780487804879
friedman_mse,25,8,0.8292682926829268
friedman_mse,25,16,0.8333333333333334
friedman_mse,25,32,0.8373983739837398
friedman_mse,25,64,0.8455284552845529
friedman_mse,25,128,0.8699186991869918
friedman_mse,25,256,0.8536585365853658
friedman_mse,25,512,0.8495934959349594
friedman_mse,25,1024,0.8455284552845529
friedman_mse,30,2,0.7682926829268293
friedman_mse,30,4,0.8089430894308943
friedman_mse,30,8,0.8333333333333334
friedman_mse,30,16,0.8455284552845529
friedman_mse,30,32,0.8495934959349594
friedman_mse,30,64,0.8455284552845529
friedman_mse,30,128,0.8658536585365854
friedman_mse,30,256,0.8536585365853658
friedman_mse,30,512,0.8495934959349594
friedman_mse,30,1024,0.8455284552845529
