criterion,max_depth,min_samples_split,valid_acc
entropy,1,2,0.7804878048780488
entropy,1,4,0.7479674796747967
entropy,1,8,0.7967479674796748
entropy,1,16,0.7601626016260162
entropy,1,32,0.7764227642276422
entropy,1,64,0.7723577235772358
entropy,1,128,0.7845528455284553
entropy,1,256,0.7886178861788617
entropy,1,512,0.7601626016260162
entropy,1,1024,0.2926829268292683
entropy,5,2,0.8211382113821138
entropy,5,4,0.8333333333333334
entropy,5,8,0.8170731707317073
entropy,5,16,0.8455284552845529
entropy,5,32,0.8414634146341463
entropy,5,64,0.8333333333333334
entropy,5,128,0.8130081300813008
entropy,5,256,0.7845528455284553
entropy,5,512,0.7764227642276422
entropy,5,1024,0.2926829268292683
entropy,10,2,0.8373983739837398
entropy,10,4,0.8373983739837398
entropy,10,8,0.8536585365853658
entropy,10,16,0.8455284552845529
entropy,10,32,0.8414634146341463
entropy,10,64,0.8333333333333334
entropy,10,128,0.8170731707317073
entropy,10,256,0.8048780487804879
entropy,10,512,0.7967479674796748
entropy,10,1024,0.2926829268292683
entropy,15,2,0.8536585365853658
entropy,15,4,0.8495934959349594
entropy,15,8,0.8658536585365854
entropy,15,16,0.8495934959349594
entropy,15,32,0.8414634146341463
entropy,15,64,0.8211382113821138
entropy,15,128,0.8089430894308943
entropy,15,256,0.7845528455284553
entropy,15,512,0.7682926829268293
entropy,15,1024,0.2926829268292683
entropy,20,2,0.8536585365853658
entropy,20,4,0.8536585365853658
entropy,20,8,0.8577235772357723
entropy,20,16,0.8495934959349594
entropy,20,32,0.8292682926829268
entropy,20,64,0.8373983739837398
entropy,20,128,0.8414634146341463
entropy,20,256,0.8089430894308943
entropy,20,512,0.7804878048780488
entropy,20,1024,0.2926829268292683
entropy,25,2,0.8536585365853658
entropy,25,4,0.8577235772357723
entropy,25,8,0.8577235772357723
entropy,25,16,0.8536585365853658
entropy,25,32,0.8577235772357723
entropy,25,64,0.8292682926829268
entropy,25,128,0.8211382113821138
entropy,25,256,0.8048780487804879
entropy,25,512,0.7845528455284553
entropy,25,1024,0.2926829268292683
entropy,30,2,0.8455284552845529
entropy,30,4,0.8577235772357723
entropy,30,8,0.8373983739837398
entropy,30,16,0.8577235772357723
entropy,30,32,0.8414634146341463
entropy,30,64,0.8252032520325203
entropy,30,128,0.8211382113821138
entropy,30,256,0.7967479674796748
entropy,30,512,0.8089430894308943
entropy,30,1024,0.2926829268292683
entropy,50,2,0.8658536585365854
entropy,50,4,0.8536585365853658
entropy,50,8,0.8455284552845529
entropy,50,16,0.8495934959349594
entropy,50,32,0.8333333333333334
entropy,50,64,0.8252032520325203
entropy,50,128,0.8495934959349594
entropy,50,256,0.8048780487804879
entropy,50,512,0.7520325203252033
entropy,50,1024,0.2926829268292683
entropy,100,2,0.8373983739837398
entropy,100,4,0.8536585365853658
entropy,100,8,0.8536585365853658
entropy,100,16,0.8495934959349594
entropy,100,32,0.8495934959349594
entropy,100,64,0.8373983739837398
entropy,100,128,0.8333333333333334
entropy,100,256,0.7886178861788617
entropy,100,512,0.7886178861788617
entropy,100,1024,0.2926829268292683
gini,1,2,0.6991869918699187
gini,1,4,0.7926829268292683
gini,1,8,0.7642276422764228
gini,1,16,0.8089430894308943
gini,1,32,0.7804878048780488
gini,1,64,0.7886178861788617
gini,1,128,0.7764227642276422
gini,1,256,0.7439024390243902
gini,1,512,0.7682926829268293
gini,1,1024,0.2926829268292683
gini,5,2,0.8170731707317073
gini,5,4,0.8089430894308943
gini,5,8,0.8292682926829268
gini,5,16,0.8089430894308943
gini,5,32,0.8130081300813008
gini,5,64,0.8252032520325203
gini,5,128,0.8211382113821138
gini,5,256,0.8130081300813008
gini,5,512,0.8048780487804879
gini,5,1024,0.2926829268292683
gini,10,2,0.8536585365853658
gini,10,4,0.8495934959349594
gini,10,8,0.8455284552845529
gini,10,16,0.8414634146341463
