params,accuracy
"{'alpha': 0.01, 'l2_lambda': 0.35, 'hidden_sizes': (128, 64), 'batch_size': 32, 'patience': 10}",0.8658536585365854
"{'alpha': 0.01, 'l2_lambda': 0.35, 'hidden_sizes': (128, 64), 'batch_size': 16, 'patience': 10}",0.8617886178861789
"{'alpha': 0.01, 'l2_lambda': 0.3, 'hidden_sizes': (128, 64), 'batch_size': 16, 'patience': 10}",0.8536585365853658
"{'alpha': 0.01, 'l2_lambda': 0.3, 'hidden_sizes': (32, 16), 'batch_size': 16, 'patience': 10}",0.8536585365853658
"{'alpha': 0.01, 'l2_lambda': 0.3, 'hidden_sizes': (32, 32), 'batch_size': 64, 'patience': 10}",0.8536585365853658
"{'alpha': 0.01, 'l2_lambda': 0.35, 'hidden_sizes': (16, 16), 'batch_size': 16, 'patience': 10}",0.8536585365853658
"{'alpha': 0.005, 'l2_lambda': 0.3, 'hidden_sizes': (64, 32), 'batch_size': 64, 'patience': 10}",0.8536585365853658
"{'alpha': 0.005, 'l2_lambda': 0.3, 'hidden_sizes': (32, 16), 'batch_size': 16, 'patience': 10}",0.8536585365853658
"{'alpha': 0.005, 'l2_lambda': 0.35, 'hidden_sizes': (128, 64), 'batch_size': 16, 'patience': 10}",0.8536585365853658
"{'alpha': 0.01, 'l2_lambda': 0.3, 'hidden_sizes': (64, 32), 'batch_size': 64, 'patience': 10}",0.8495934959349594
"{'alpha': 0.01, 'l2_lambda': 0.35, 'hidden_sizes': (32, 32), 'batch_size': 16, 'patience': 10}",0.8495934959349594
"{'alpha': 0.005, 'l2_lambda': 0.3, 'hidden_sizes': (32, 32), 'batch_size': 64, 'patience': 10}",0.8495934959349594
"{'alpha': 0.005, 'l2_lambda': 0.3, 'hidden_sizes': (16, 16), 'batch_size': 64, 'patience': 10}",0.8495934959349594
"{'alpha': 0.005, 'l2_lambda': 0.35, 'hidden_sizes': (64, 32), 'batch_size': 16, 'patience': 10}",0.8495934959349594
"{'alpha': 0.005, 'l2_lambda': 0.35, 'hidden_sizes': (32, 16), 'batch_size': 32, 'patience': 10}",0.8495934959349594
"{'alpha': 0.005, 'l2_lambda': 0.35, 'hidden_sizes': (32, 32), 'batch_size': 64, 'patience': 10}",0.8495934959349594
"{'alpha': 0.005, 'l2_lambda': 0.35, 'hidden_sizes': (16, 16), 'batch_size': 32, 'patience': 10}",0.8495934959349594
"{'alpha': 0.01, 'l2_lambda': 0.25, 'hidden_sizes': (128, 64), 'batch_size': 32, 'patience': 10}",0.8455284552845529
"{'alpha': 0.01, 'l2_lambda': 0.25, 'hidden_sizes': (32, 16), 'batch_size': 16, 'patience': 10}",0.8455284552845529
"{'alpha': 0.01, 'l2_lambda': 0.25, 'hidden_sizes': (64, 64), 'batch_size': 32, 'patience': 10}",0.8455284552845529
"{'alpha': 0.01, 'l2_lambda': 0.25, 'hidden_sizes': (64, 64), 'batch_size': 16, 'patience': 10}",0.8455284552845529
"{'alpha': 0.01, 'l2_lambda': 0.3, 'hidden_sizes': (32, 32), 'batch_size': 32, 'patience': 10}",0.8455284552845529
"{'alpha': 0.01, 'l2_lambda': 0.35, 'hidden_sizes': (64, 32), 'batch_size': 16, 'patience': 10}",0.8455284552845529
